2016-10-13 05:32:58,062 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315178	44.0	206.0	218.0	439.0	-99.0	-99.0	-1.0	-1.0	44.0	
2016-10-13 05:33:38,060 	 <Dispatcher> 	 Level 45 	 missing	1476315218	4675204.0	1.24801182747	199.941055298	620.8984375	-99.0	-99.0	-1.0	-1.0	4675204.0	
2016-10-13 05:33:38,067 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315218	41.0	204.0	213.0	426.0	-99.0	-99.0	-1.0	-1.0	41.0	
2016-10-13 05:34:18,466 	 <Dispatcher> 	 Level 45 	 missing	1476315258	4808819.5	1.36109042168	201.644058228	631.640625	-99.0	-99.0	-1.0	-1.0	4808819.5	
2016-10-13 05:34:18,474 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315258	45.0	207.0	212.0	427.0	-99.0	-99.0	-1.0	-1.0	45.0	
2016-10-13 05:34:58,069 	 <Dispatcher> 	 Level 45 	 missing	1476315298	4302869.0	3.66522502899	177.125991821	653.125	-99.0	-99.0	-1.0	-1.0	4302869.0	
2016-10-13 05:34:58,076 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315298	20.0	179.0	208.0	429.0	-99.0	-99.0	-1.0	-1.0	20.0	
2016-10-13 05:35:38,077 	 <Dispatcher> 	 Level 45 	 missing	1476315338	3429103.25	0.99543595314	169.431747437	470.5078125	-99.0	-99.0	-1.0	-1.0	3429103.25	
2016-10-13 05:35:38,085 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315338	12.0	173.0	202.0	412.0	-99.0	-99.0	-1.0	-1.0	12.0	
2016-10-13 05:36:18,079 	 <Dispatcher> 	 Level 45 	 missing	1476315378	4609237.0	3.31516003609	203.357009888	631.640625	-99.0	-99.0	-1.0	-1.0	4609237.0	
2016-10-13 05:36:18,087 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315378	48.0	212.0	215.0	427.0	-99.0	-99.0	-1.0	-1.0	48.0	
2016-10-13 05:36:58,086 	 <Dispatcher> 	 Level 45 	 missing	1476315418	3896079.75	1.29367136955	181.855773926	449.0234375	-99.0	-99.0	-1.0	-1.0	3896079.75	
2016-10-13 05:36:58,093 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315418	28.0	189.0	208.0	410.0	-99.0	-99.0	-1.0	-1.0	28.0	
2016-10-13 05:37:38,093 	 <Dispatcher> 	 Level 45 	 missing	1476315458	4082863.5	4.43764448166	183.451431274	728.3203125	-99.0	-99.0	-1.0	-1.0	4082863.5	
2016-10-13 05:37:38,100 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315458	27.0	191.0	210.0	436.0	-99.0	-99.0	-1.0	-1.0	27.0	
2016-10-13 05:38:18,099 	 <Dispatcher> 	 Level 45 	 missing	1476315498	3710618.0	5.0861530304	205.079956055	749.8046875	-99.0	-99.0	-1.0	-1.0	3710618.0	
2016-10-13 05:38:18,106 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315498	46.0	210.0	218.0	438.0	-99.0	-99.0	-1.0	-1.0	46.0	
2016-10-13 05:38:58,103 	 <Dispatcher> 	 Level 45 	 missing	1476315538	3922199.0	4.4657959938	191.574279785	760.546875	-99.0	-99.0	-1.0	-1.0	3922199.0	
2016-10-13 05:38:58,110 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315538	32.0	193.0	212.0	439.0	-99.0	-99.0	-1.0	-1.0	32.0	
2016-10-13 05:39:38,108 	 <Dispatcher> 	 Level 45 	 missing	1476315578	4723785.5	2.90529537201	205.079956055	588.671875	-99.0	-99.0	-1.0	-1.0	4723785.5	
2016-10-13 05:39:38,115 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315578	45.0	210.0	214.0	423.0	-99.0	-99.0	-1.0	-1.0	45.0	
2016-10-13 05:40:18,113 	 <Dispatcher> 	 Level 45 	 missing	1476315618	4810074.0	3.49749231339	201.644058228	588.671875	-99.0	-99.0	-1.0	-1.0	4810074.0	
2016-10-13 05:40:18,120 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315618	46.0	209.0	214.0	423.0	-99.0	-99.0	-1.0	-1.0	46.0	
2016-10-13 05:40:58,125 	 <Dispatcher> 	 Level 45 	 missing	1476315658	3781898.0	5.26877641678	205.079956055	599.4140625	-99.0	-99.0	-1.0	-1.0	3781898.0	
2016-10-13 05:40:58,132 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315658	47.0	209.0	216.0	424.0	-99.0	-99.0	-1.0	-1.0	47.0	
2016-10-13 05:41:38,129 	 <Dispatcher> 	 Level 45 	 missing	1476315698	4866984.0	3.29716062546	196.564804077	534.9609375	-99.0	-99.0	-1.0	-1.0	4866984.0	
2016-10-13 05:41:38,136 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315698	44.0	207.0	213.0	418.0	-99.0	-99.0	-1.0	-1.0	44.0	
2016-10-13 05:42:18,132 	 <Dispatcher> 	 Level 45 	 missing	1476315738	4236896.5	3.20626664162	183.451431274	749.8046875	-99.0	-99.0	-1.0	-1.0	4236896.5	
2016-10-13 05:42:18,139 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315738	28.0	187.0	210.0	438.0	-99.0	-99.0	-1.0	-1.0	28.0	
2016-10-13 05:42:58,139 	 <Dispatcher> 	 Level 45 	 missing	1476315778	4295252.5	1.40104568005	164.926986694	577.9296875	-99.0	-99.0	-1.0	-1.0	4295252.5	
2016-10-13 05:42:58,147 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315778	11.0	169.0	204.0	422.0	-99.0	-99.0	-1.0	-1.0	11.0	
2016-10-13 05:43:38,145 	 <Dispatcher> 	 Level 45 	 missing	1476315818	3792524.75	1.21755421162	170.951889038	427.5390625	-99.0	-99.0	-1.0	-1.0	3792524.75	
2016-10-13 05:43:38,153 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315818	17.0	181.0	202.0	408.0	-99.0	-99.0	-1.0	-1.0	17.0	
2016-10-13 05:44:18,151 	 <Dispatcher> 	 Level 45 	 missing	1476315858	3685306.0	1.0570526123	164.926986694	491.9921875	-99.0	-99.0	-1.0	-1.0	3685306.0	
2016-10-13 05:44:18,159 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315858	10.0	172.0	200.0	414.0	-99.0	-99.0	-1.0	-1.0	10.0	
